0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.687706213444996717e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.366196690816757098e-01,2.518378352030589684e-02,3.022154127288437155e-03
3.000000000000000000e+00,5.026381880550110370e-01,5.225956836376662723e-02,7.969106385670610138e-03
4.000000000000000000e+00,5.659422836841473403e-01,8.210925312361380679e-02,1.415526577194780970e-02
5.000000000000000000e+00,6.256852139496140719e-01,1.148358964861736775e-01,2.139303470151900088e-02
6.000000000000000000e+00,6.810689624060064506e-01,1.503279507620571276e-01,2.958617091452961367e-02
7.000000000000000000e+00,7.313551307787222733e-01,1.883541979076145401e-01,3.866924726973986620e-02
8.000000000000000000e+00,7.758749993803368827e-01,2.285995478248160906e-01,4.858830942405940878e-02
9.000000000000000000e+00,8.140386154185113021e-01,2.706841636165875364e-01,5.929294088227233389e-02
1.000000000000000000e+01,8.453427830868220916e-01,3.141765331612451639e-01,7.073256681414093194e-02
1.100000000000000000e+01,8.693778449332887348e-01,3.586040876968358271e-01,8.285460682218312445e-02
1.200000000000000000e+01,8.858331611631637958e-01,4.034627773698832298e-01,9.560354117971769927e-02
1.300000000000000000e+01,8.945012120049538051e-01,4.482262097123603239e-01,1.089204602841292308e-01
1.400000000000000000e+01,8.952802677850302260e-01,4.923545888640479262e-01,1.227429009407038779e-01
1.500000000000000000e+01,8.881755916352174207e-01,5.353035451563554759e-01,1.370048499823859067e-01
1.600000000000000000e+01,8.732991605072499830e-01,5.765328416455522964e-01,1.516368634564971840e-01
1.700000000000000000e+01,8.508679110894545872e-01,6.155149192407043390e-01,1.665662545185197796e-01
1.800000000000000000e+01,8.212005380137514798e-01,6.517431799534212367e-01,1.817173489106140849e-01
1.900000000000000000e+01,7.847128921068127205e-01,6.847399655342758518e-01,1.970117602098729881e-01
2.000000000000000000e+01,7.419120460862340671e-01,7.140640820036260328e-01,2.123687161023948278e-01
